experimento,modelo,dataset,estrategia,esparsidade_alvo,beta,seed,escopo,alvo,esparsidade_real,cabecas_removidas,neuronios_removidos,taxas_por_camada,perplexity_pre,passos_treino,blocos_treino,batch_size,grad_accum,lr,epochs,tempo_treino_s,perda_final,energia_treino_kwh,emissoes_treino_kg_co2,esparsidade_pos,energia_kwh,emissoes_kg_co2,perplexity,parametros_total,parametros_nao_zerados,tamanho_mb,flops,tempo_inferencia_ms_media,tempo_inferencia_ms_desvio,recuperacao_log
finetune_nenhuma_s00,gpt2,wikitext-2-raw-v1,nenhuma,0.0,,42,-,-,0.0,0,0,,25.170412063598633,297,4743,4,4,5e-05,1.0,273.97290337699997,3.2263655281066894,0.007326515532135033,0.001601096068407908,0.0,0.0015879564798362289,0.00034702320161842905,18.683595657348633,124439808,124439808,474.7001953125,126575443968.0,50.206172943115234,1.3238822221755981,0.2980232789453221
finetune_magnitude_s30,gpt2,wikitext-2-raw-v1,magnitude,0.3,,42,uniforme,-,0.29999967268955563,0,0,,36.417724609375,297,4743,4,4,5e-05,1.0,273.9388545050001,3.3296571493148805,0.007328999131925388,0.001601638820530987,0.29999967268955563,0.0015746922105237071,0.0003441245017721744,20.542985916137695,124439808,98959439,474.7001953125,126575443968.0,49.28923797607422,1.0919071435928345,0.5725360312134576
finetune_magnitude_s50,gpt2,wikitext-2-raw-v1,magnitude,0.5,,42,uniforme,-,0.5,0,0,,473.2821960449219,297,4743,4,4,5e-05,1.0,272.6430765260002,3.6777559614181516,0.00728671038150119,0.0015923972715647574,0.5,0.0015526437462757793,0.0003393061526856336,30.27420997619629,124439808,81972480,474.7001953125,126575443968.0,49.21905517578125,1.1173762083053589,2.749395625390667
finetune_estruturada_s10,gpt2,wikitext-2-raw-v1,estruturada,0.1,,42,global,ambos,0.09904516241342964,-1,-1,,356.201416015625,297,4743,4,4,5e-05,1.0,269.81813001,3.6809833002090455,0.007213990720230518,0.0015765055201249704,0.09904516241342964,0.00151501698584421,0.0003310834091550052,25.332426071166992,116019226,116019226,442.5782241821289,117959294976.0,47.130096435546875,1.1622838973999023,2.6434111081896328
finetune_estruturada_s30,gpt2,wikitext-2-raw-v1,estruturada,0.3,,42,global,ambos,0.2994683806647094,-1,-1,,2413.522705078125,297,4743,4,4,5e-05,1.0,237.73826772300026,4.766874570846557,0.0063393981274941415,0.0013853769057724904,0.2994683806647094,0.0012848664319143172,0.00028078758361245427,104.77812194824219,98979725,98979725,377.57768630981445,100524097536.0,40.81668472290039,0.4813922345638275,3.1369976725304736
finetune_sensibilidade_s10,gpt2,wikitext-2-raw-v1,sensibilidade,0.1,1.0,42,sensibilidade:estruturada,ambos,0.09201032492095751,11,3681,0.0039;0.1673;0.0915;0.0863;0.0723;0.0936;0.1142;0.1343;0.1290;0.1691;0.1146;0.0238,124.29047393798828,297,4743,4,4,5e-05,1.0,274.7036308509996,3.461293268203735,0.007346209015597561,0.001605399773055337,0.09201032492095751,0.00153728633805169,0.00033595002987108754,25.955175399780273,116617311,116617311,444.85973739624023,118571139072.0,47.654239654541016,0.9356577396392822,1.5662503308148026
finetune_sensibilidade_s30,gpt2,wikitext-2-raw-v1,sensibilidade,0.3,1.0,42,sensibilidade:estruturada,ambos,0.29008257113821134,39,11052,0.0118;0.5018;0.2746;0.2588;0.2170;0.2808;0.3426;0.4029;0.3869;0.5073;0.3438;0.0714,724.525146484375,297,4743,4,4,5e-05,1.0,237.1161769270002,4.032231707572937,0.006329472661920234,0.0013832078495768407,0.29008257113821134,0.0013069364314058783,0.00028561063889169497,56.07988739013672,99777684,99777684,380.6216583251953,101340413952.0,40.2778205871582,0.9176968932151794,2.558739235198996
