experimento,modelo,dataset,estrategia,escopo,esparsidade_alvo,esparsidade_real,cabecas_removidas,neuronios_removidos,taxa_sonda,beta,taxas_por_camada,perplexity,parametros_total,parametros_nao_zerados,tamanho_mb,flops,tempo_inferencia_ms_media,tempo_inferencia_ms_desvio,energia_kwh,emissoes_kg_co2
sensibilidade_estruturada_s30,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.3,0.29008257113821134,39,11052,0.5,1.0,0.0118;0.5018;0.2746;0.2588;0.2170;0.2808;0.3426;0.4029;0.3869;0.5073;0.3438;0.0714,724.525146484375,99777684,99777684,380.6216583251953,101340413952.0,37.18048095703125,1.2136026620864868,0.0012130386706612842,0.0001683089016369094
sensibilidade_estruturada_s40,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.4,0.39146062697606143,54,14739,0.5,1.0,0.0158;0.6691;0.3662;0.3450;0.2894;0.3744;0.4568;0.5372;0.5159;0.6765;0.4584;0.0952,1301.148193359375,91158765,91158765,347.74309158325195,92521365504.0,34.43576431274414,0.7770152688026428,0.0011110047610560926,0.00015415171467269862
sensibilidade_estruturada_s50,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.5,0.48822713179388744,67,18427,0.5,1.0,0.0197;0.8364;0.4577;0.4313;0.3617;0.4681;0.5710;0.6716;0.6449;0.8456;0.5731;0.1190,2327.587890625,82931909,82931909,316.3601264953613,84103397376.0,30.50299644470215,0.556204617023468,0.0009978877211333367,0.00013845674533141734
sensibilidade_estruturada_s60,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.6,0.5849394007828967,80,22112,0.5,1.0,0.0242;0.9500;0.5618;0.5293;0.4440;0.5745;0.7009;0.8243;0.7915;0.9500;0.7034;0.1461,5393.150390625,74709664,74709664,284.9947509765625,75690147840.0,27.925073623657227,1.0045453310012817,0.0008900197866837056,0.00012349008844886114
sensibilidade_estruturada_s70,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.7,0.6862993780111413,95,25798,0.5,1.0,0.0302;0.9500;0.7015;0.6609;0.5544;0.7173;0.8751;0.9500;0.9500;0.9500;0.8782;0.1824,10130.3330078125,66092282,66092282,252.1220474243164,66872672256.0,24.498987197875977,1.155449628829956,0.0007831773263279252,0.00010866571591598604
sensibilidade_estruturada_s80,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.8,0.7900103272734116,111,29486,0.5,1.0,0.0423;0.9500;0.9500;0.9257;0.7765;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.2555,8891.7685546875,57275026,57275026,218.48688507080078,57850724352.0,20.795482635498047,1.689995527267456,0.0006750540211286408,9.366362638694965e-05
sensibilidade_estruturada_s90,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.9,0.8890735682964468,125,33173,0.5,1.0,0.3500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500,5353.84521484375,48852907,48852907,186.35905075073242,49233002496.0,19.418956756591797,1.1134731769561768,0.0005682074650213437,7.883868556927391e-05
sensibilidade_magnitude_s00,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.0,0.0,0,0,0.5,0.5,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,45.64453887939453,0.7576237320899963,0.0015290159448635885,0.0002121506927104145
sensibilidade_magnitude_s10,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.1,0.09999991051944686,0,0,0.5,0.5,0.0425;0.1427;0.0871;0.1275;0.0590;0.0736;0.0978;0.1198;0.1132;0.1074;0.1147;0.1147,25.44046974182129,124439808,115946350,474.7001953125,126575443968.0,47.20895004272461,1.031234622001648,0.0014755696480485928,0.00020473502845249903
sensibilidade_magnitude_s20,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.2,0.19999993877646363,0,0,0.5,0.5,0.0850;0.2854;0.1741;0.2550;0.1180;0.1473;0.1957;0.2396;0.2265;0.2147;0.2294;0.2293,26.574878692626953,124439808,107452882,474.7001953125,126575443968.0,45.893959045410156,1.090006709098816,0.0014760662516984221,0.00020480393212133765
sensibilidade_magnitude_s30,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.3,0.29999995525972345,0,0,0.5,0.5,0.1275;0.4281;0.2612;0.3825;0.1770;0.2209;0.2935;0.3594;0.3397;0.3221;0.3440;0.3440,31.19817543029785,124439808,98959415,474.7001953125,126575443968.0,45.559974670410156,1.1364822387695312,0.0014710740097786037,0.00020411125943533634
sensibilidade_magnitude_s40,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.4,0.3999999128741982,0,0,0.5,0.5,0.1700;0.5708;0.3482;0.5100;0.2360;0.2946;0.3914;0.4793;0.4529;0.4294;0.4587;0.4587,57.303558349609375,124439808,90465953,474.7001953125,126575443968.0,45.83708953857422,1.1134841442108154,0.0014633621719838494,0.00020304124330128393
sensibilidade_magnitude_s50,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.5,0.49999994113121504,0,0,0.5,0.5,0.2125;0.7135;0.4353;0.6375;0.2950;0.3682;0.4892;0.5991;0.5662;0.5368;0.5734;0.5734,447.5660705566406,124439808,81972485,474.7001953125,126575443968.0,44.862571716308594,1.1423733234405518,0.001452369806507405,0.00020151605452991254
sensibilidade_magnitude_s60,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.6,0.5999999458407178,0,0,0.5,0.5,0.2550;0.8562;0.5224;0.7650;0.3540;0.4419;0.5871;0.7189;0.6794;0.6441;0.6881;0.6880,2171.79150390625,124439808,73479019,474.7001953125,126575443968.0,44.63935089111328,1.3468188047409058,0.0014427179658986075,0.00020017686334752787
sensibilidade_magnitude_s70,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.7,0.6999999505502207,0,0,0.5,0.5,0.2994;0.9500;0.6134;0.8984;0.4157;0.5189;0.6895;0.8442;0.7979;0.7564;0.8080;0.8080,2805.394775390625,124439808,64985553,474.7001953125,126575443968.0,43.93788528442383,1.1374702453613281,0.0014330074204596515,0.0001988295268803112
sensibilidade_magnitude_s80,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.8,0.7999999317122094,0,0,0.5,0.5,0.3550;0.9500;0.7272;0.9500;0.4928;0.6152;0.8173;0.9500;0.9458;0.8967;0.9500;0.9500,3715.676025390625,124439808,56492089,474.7001953125,126575443968.0,43.25650405883789,1.070876121520996,0.0014240083429512248,0.00019758090646298927
